1,ABBEYBDS,2.06,2.06,-,-,-,2.06,-,-,7,"11,080","24,265.20"
2,ABCTRANS,0.74,0.74,-,-,-,0.74,-,-,14,"224,189","177,392.20"
3,ACADEMY,1.75,1.75,-,-,-,1.75,-,-,4,"6,010","10,966.20"
4,ACCESSCORP,15.75,15.75,15.75,15.65,0.63,15.7,-0.05,-0.32,457,"38,974,272","611,819,309.50"
5,AFRIPRUD,7.05,7.05,6.6,6.5,1.52,6.5,-0.55,-7.8,41,"809,737","5,338,422.90"
6,AIICO,0.7,0.7,0.71,0.7,1.41,0.71,0.01,1.43,28,"1,427,269","1,002,606.40"
7,AIRTELAFRI,"1,400.10","1,400.10",-,-,-,"1,400.10",-,-,45,"6,765","10,207,249.60"
8,BERGER,11.8,11.8,-,-,-,11.8,-,-,5,"6,073","70,670.80"
9,BETAGLAS,66.95,66.95,-,-,-,66.95,-,-,3,"3,415","205,924.50"
10,BUACEMENT,103.4,103.4,105.8,105.8,-,105.8,2.4,2.32,113,"297,565","30,537,698.60"
11,BUAFOODS,202.8,202.8,-,-,-,202.8,-,-,42,"50,021","9,410,278.50"
12,CADBURY,15,15,-,-,-,15,-,-,28,"120,547","1,663,618.15"
13,CAP,20,20,-,-,-,20,-,-,10,"14,307","287,027.95"
14,CAPHOTEL,3.02,3.02,-,-,-,3.02,-,-,1,"3,520","11,686.40"
15,CAVERTON,1.59,1.59,1.5,1.48,1.33,1.48,-0.11,-6.92,30,"1,204,325","1,793,627.45"
16,CHAMPION,3.38,3.38,-,-,-,3.38,-,-,2,"2,550","9,120.00"
17,CHAMS,1.4,1.4,-,-,-,1.4,-,-,30,"225,640","315,721.35"
18,CHIPLC,1.12,1.12,1.05,1.05,-,1.05,-0.07,-6.25,13,"387,194","414,796.20"
19,CONOIL,80.2,80.2,-,-,-,80.2,-,-,28,"20,758","1,521,532.15"
20,CORNERST,1.55,1.55,1.65,1.59,3.64,1.65,0.1,6.45,18,"617,834","993,304.85"
21,COURTVILLE,0.56,0.56,0.57,0.57,-,0.57,0.01,1.79,8,"312,306","181,955.76"
