1,OMATEK,0.4,0.44,0.04,10
2,AIRTELAFRI,"1,290.00","1,400.10",110.1,8.53
3,CAVERTON,1.37,1.45,0.08,5.84
4,LINKASSURE,0.72,0.75,0.03,4.17
5,ROYALEX,0.5,0.52,0.02,4
6,WEMABANK,4.65,4.8,0.15,3.23
7,UBA,16.75,17.2,0.45,2.69
8,STANBIC,78,80,2,2.56
9,FIDSON,14.5,14.85,0.35,2.41
10,FIDELITYBK,8.25,8.4,0.15,1.82
11,JBERGER,32.5,33,0.5,1.54
12,AIICO,0.7,0.71,0.01,1.43
13,ACCESSCORP,16.15,16.05,0.2,1.26
14,JAPAULGOLD,0.97,0.98,0.01,1.03
15,FLOURMILL,32.5,32.8,0.3,0.92
16,DANGSUGAR,56,56.5,0.5,0.89
17,UPDC,1.28,1.29,0.01,0.78
18,JAIZBANK,1.64,1.65,0.01,0.61
19,ZENITHBANK,31.9,32,0.1,0.31
20,GTCO,36,36.05,0.05,0.14
